age,code,wage,benifit
57,81,24955,261.0
39,21,47178,1323.0
77,52,45774,891.0
57,81,30747,299.0
70,22,48450,1408.0
31,32,24969,634.0
79,11,38667,1291.0
63,81,32684,322.0
82,24,57415,1667.0
65,12,38471,1262.0
51,61,27123,446.0
46,33,43879,1100.0
33,34,31987,801.0
80,35,49586,1290.0
20,82,32460,249.0
82,81,36530,380.0
23,81,34588,268.0
78,34,28395,792.0
60,53,33767,662.0
74,54,21840,487.0
88,35,29322,830.0
34,11,57836,1791.0
37,21,52572,1463.0
40,53,39629,727.0
82,35,29169,817.0
38,22,35442,1008.0
59,92,27818,191.0
96,54,24486,568.0
38,21,53991,1503.0
96,21,51900,1544.0
65,82,38167,362.0
37,22,41202,1160.0
51,71,21783,302.0
62,53,24591,513.0
84,35,48598,1273.0
52,35,28424,749.0
29,24,36475,1021.0
69,21,59280,1695.0
56,53,33628,653.0
81,12,33176,1130.0
81,12,35009,1185.0
59,52,33500,656.0
40,54,22973,449.0
58,61,19827,361.0
68,11,34674,1153.0
30,23,47283,1310.0
87,35,44575,1185.0
73,51,26010,555.0
84,23,53207,1558.0
55,34,30747,809.0
30,63,26175,399.0
37,54,24178,464.0
30,41,35397,757.0
77,11,37333,1248.0
44,53,40819,753.0
29,54,24766,461.0
56,54,21904,458.0
80,81,33197,354.0
97,12,31845,1117.0
24,52,26436,480.0
68,12,39346,1293.0
52,31,27583,730.0
34,34,37748,937.0
67,53,29519,603.0
88,81,28650,337.0
36,35,51066,1251.0
63,11,72482,2279.0
54,21,35002,1023.0
84,91,25486,224.0
98,81,25829,335.0
65,12,33801,1122.0
27,33,39185,959.0
94,12,32564,1133.0
63,33,26305,718.0
58,34,42077,1078.0
62,34,35622,934.0
25,21,60992,1668.0
30,32,22028,563.0
99,21,34283,1079.0
49,22,32314,943.0
77,61,22806,432.0
41,72,27219,340.0
89,41,25301,654.0
33,21,54391,1505.0
87,32,33166,918.0
80,53,33704,695.0
98,24,55653,1647.0
59,24,56506,1605.0
83,21,35387,1081.0
30,34,33622,834.0
69,41,28468,684.0
42,53,38150,705.0
72,53,30047,620.0
65,34,44925,1156.0
74,31,28124,779.0
22,11,71343,2176.0
82,82,39802,402.0
21,21,42071,1156.0
20,11,68680,2093.0
56,35,31397,825.0
40,23,41075,1162.0
85,91,30227,242.0
62,32,25893,707.0
55,42,28287,657.0
25,72,22003,261.0
22,41,34462,725.0
18,32,25532,625.0
66,24,57700,1648.0
74,71,20587,329.0
77,24,35324,1070.0
90,32,32948,918.0
81,34,36252,980.0
92,24,50991,1513.0
23,92,25250,122.0
68,34,33990,906.0
25,22,38418,1066.0
28,54,32290,584.0
50,24,42583,1218.0
60,35,51703,1306.0
73,33,23531,670.0
77,61,21530,415.0
87,71,29325,438.0
65,62,25084,442.0
74,22,39333,1172.0
65,61,30036,508.0
77,11,56118,1811.0
60,62,25043,433.0
62,31,31353,834.0
74,52,27671,584.0
89,62,30227,551.0
69,22,42485,1247.0
38,54,23493,454.0
39,24,32711,937.0
81,21,36812,1116.0
42,24,42917,1214.0
51,22,50431,1429.0
43,21,33983,977.0
35,61,29931,457.0
43,91,24165,152.0
40,35,34324,867.0
79,92,20065,198.0
38,21,57244,1589.0
96,35,44995,1209.0
43,12,39951,1270.0
55,34,39829,1021.0
94,11,78358,2507.0
53,32,25473,682.0
33,24,61091,1684.0
94,23,48404,1447.0
19,61,24700,361.0
26,31,31168,770.0
32,12,27560,880.0
72,12,44587,1457.0
58,31,29180,777.0
42,62,31834,494.0
52,22,44162,1264.0
47,54,32605,621.0
51,23,43237,1237.0
37,81,28338,250.0
21,41,29683,628.0
25,21,56510,1548.0
27,24,49653,1369.0
38,22,45039,1264.0
75,34,35998,964.0
63,35,33093,877.0
86,24,53897,1580.0
31,82,37992,304.0
47,54,24087,479.0
68,11,85402,2675.0
44,11,59004,1843.0
83,22,44307,1319.0
23,34,36872,898.0
39,32,33112,837.0
44,21,45362,1282.0
47,21,52411,1475.0
91,62,21719,441.0
56,34,42641,1088.0
75,22,38259,1145.0
52,22,44830,1282.0
62,53,42086,804.0
28,61,20433,319.0
37,21,41488,1168.0
48,81,26736,258.0
94,12,48425,1609.0
56,33,30017,793.0
89,54,31352,670.0
36,31,28908,734.0
65,32,27815,757.0
62,52,26645,547.0
61,92,30846,204.0
25,24,61497,1681.0
79,35,35804,967.0
64,22,49717,1432.0
27,54,32331,583.0
93,34,30893,875.0
36,12,50183,1565.0
25,61,19605,303.0
66,34,33909,901.0
81,33,17330,539.0
19,32,24173,595.0
61,52,32804,648.0
23,21,48504,1331.0
42,21,42009,1190.0
62,62,22028,397.0
47,34,30949,800.0
76,52,44256,864.0
59,35,33310,875.0
84,35,33715,926.0
85,22,47701,1413.0
54,91,32207,197.0
64,12,29329,986.0
73,23,38116,1138.0
32,35,44345,1088.0
81,24,56394,1638.0
81,35,46746,1225.0
52,12,42266,1354.0
72,34,26650,741.0
43,32,30273,778.0
81,21,43187,1286.0
65,23,49386,1425.0
34,61,19346,314.0
68,21,42078,1235.0
39,21,45266,1272.0
90,72,31225,462.0
82,24,40287,1210.0
71,34,42742,1115.0
48,12,41357,1320.0
29,61,20961,327.0
85,92,28481,236.0
43,52,41624,765.0
97,31,35072,980.0
56,12,49780,1586.0
38,72,31087,374.0
44,32,29740,767.0
32,35,27942,705.0
27,53,41340,734.0
22,91,28739,132.0
99,52,43402,888.0
61,41,33083,763.0
84,21,41675,1251.0
96,34,32313,913.0
82,35,49597,1293.0
94,12,40086,1359.0
77,35,32140,878.0
82,81,23927,296.0
41,21,47505,1335.0
53,31,32990,858.0
60,31,42123,1082.0
39,12,38272,1213.0
38,53,30510,571.0
66,11,41983,1369.0
70,54,21734,478.0
80,21,58130,1683.0
22,91,32183,143.0
79,34,40905,1086.0
96,52,32675,704.0
78,41,29772,725.0
91,54,24805,565.0
93,81,25789,326.0
64,52,36679,717.0
24,72,24096,280.0
39,52,26212,501.0
71,91,26843,207.0
45,42,24107,557.0
18,24,52952,1442.0
93,23,31263,988.0
41,21,33925,973.0
68,11,56304,1802.0
68,24,45515,1327.0
29,41,25110,550.0
58,21,54535,1550.0
83,82,41976,418.0
98,41,33037,824.0
89,21,64172,1859.0
51,12,42246,1352.0
23,32,30576,751.0
84,51,29532,632.0
24,31,31126,766.0
35,92,22968,134.0
98,35,49228,1311.0
81,54,25673,562.0
40,24,46226,1299.0
29,24,39420,1099.0
87,34,30590,858.0
43,35,48911,1212.0
51,32,33097,857.0
58,71,21190,308.0
37,34,39366,980.0
79,81,32355,347.0
98,81,32180,377.0
57,52,31779,624.0
62,33,20605,584.0
29,92,30495,149.0
78,52,41334,818.0
37,21,60391,1672.0
99,92,22695,240.0
21,11,87256,2652.0
35,81,26113,232.0
69,35,39312,1032.0
92,71,20320,356.0
89,24,29789,942.0
74,92,22100,197.0
51,92,23648,163.0
64,32,23287,650.0
49,62,23047,388.0
73,54,30473,629.0
98,54,28936,645.0
44,12,34904,1120.0
85,32,29760,836.0
18,35,44421,1066.0
42,32,23825,625.0
80,62,30909,545.0
49,41,33018,742.0
39,31,43133,1071.0
54,92,20668,158.0
92,92,26047,240.0
44,22,38176,1091.0
52,11,35058,1138.0
31,23,41471,1157.0
51,31,33222,860.0
54,21,32941,968.0
80,23,37319,1128.0
79,22,37540,1132.0
49,34,42573,1075.0
65,12,45468,1472.0
35,41,31673,691.0
32,34,40988,1009.0
92,81,29046,346.0
68,41,30485,723.0
73,82,35616,359.0
50,54,22303,455.0
81,54,29591,628.0
18,11,31671,980.0
81,41,31976,774.0
45,21,43822,1243.0
62,21,59798,1697.0
75,41,23172,588.0
84,24,51715,1519.0
45,54,27969,541.0
92,51,23604,546.0
80,54,22471,507.0
30,71,21591,265.0
18,81,24276,191.0
74,81,35639,360.0
69,12,30368,1026.0
68,33,14330,447.0
26,21,54875,1506.0
86,35,34437,946.0
59,41,32720,752.0
32,81,33746,278.0
26,23,33733,942.0
81,24,36953,1120.0
93,53,36960,771.0
66,92,22890,186.0
90,34,38774,1054.0
49,54,22362,454.0
48,81,27616,264.0
40,21,55747,1553.0
96,51,29259,647.0
18,22,46131,1260.0
83,54,28577,614.0
88,34,43772,1168.0
89,92,22626,223.0
57,22,33536,989.0
26,32,23190,584.0
39,61,22112,359.0
27,35,30892,765.0
27,33,18330,472.0
26,52,27195,496.0
45,41,24924,573.0
96,54,30747,672.0
76,81,23217,281.0
26,21,62318,1705.0
48,23,37518,1080.0
98,81,30785,368.0
62,31,31887,847.0
25,24,48172,1326.0
59,11,72242,2265.0
24,22,41460,1145.0
51,22,42248,1211.0
46,23,52457,1475.0
80,24,51663,1511.0
94,34,37305,1027.0
48,12,32714,1061.0
33,32,22299,575.0
41,11,52543,1644.0
62,32,32359,858.0
47,92,28288,172.0
60,11,31741,1052.0
45,34,33185,849.0
76,24,51136,1490.0
65,53,40465,782.0
33,32,30432,765.0
42,62,32578,504.0
30,62,27259,413.0
54,21,48098,1372.0
34,41,24366,543.0
41,51,29052,552.0
34,34,35316,880.0
57,21,63467,1787.0
69,61,28784,498.0
29,35,39824,977.0
87,22,44340,1327.0
26,53,39645,704.0
53,23,38350,1111.0
77,81,35780,366.0
99,34,37421,1038.0
87,61,25984,491.0
35,35,45128,1111.0
61,11,82463,2575.0
93,71,20404,359.0
63,61,29637,500.0
75,33,15897,495.0
97,41,28721,736.0
43,34,36534,924.0
22,21,43203,1188.0
60,32,32409,856.0
58,72,28017,376.0
53,11,60697,1909.0
80,24,55103,1602.0
39,22,53573,1493.0
80,53,24524,542.0
56,91,24301,174.0
41,53,34326,640.0
37,11,60457,1875.0
98,61,26814,520.0
25,24,53087,1457.0
20,12,38255,1180.0
64,81,26355,282.0
62,35,46392,1185.0
73,53,41565,814.0
86,12,32049,1104.0
86,24,39791,1204.0
68,35,29388,799.0
74,21,33008,1003.0
27,32,32678,807.0
89,11,66549,2144.0
97,53,41003,845.0
20,34,30308,740.0
84,35,51429,1340.0
85,34,25193,729.0
82,11,72213,2303.0
19,21,39881,1095.0
95,22,39069,1200.0
66,81,33409,332.0
36,92,25444,144.0
57,33,38346,989.0
36,11,35080,1112.0
55,11,82518,2567.0
40,53,26786,513.0
70,12,43273,1414.0
32,24,32962,932.0
87,22,34902,1075.0
35,81,34479,288.0
68,31,39316,1030.0
70,91,27447,208.0
84,32,30713,856.0
89,11,79597,2536.0
64,21,44457,1292.0
61,71,22438,326.0
93,24,44060,1329.0
26,52,38926,692.0
90,52,27258,604.0
75,31,42978,1127.0
72,92,19030,183.0
25,21,41709,1153.0
72,61,25507,460.0
53,52,40479,762.0
62,22,37303,1098.0
96,41,26123,682.0
99,32,27059,796.0
20,24,58197,1585.0
30,61,28786,433.0
82,22,45162,1340.0
88,22,32624,1016.0
77,82,25336,297.0
46,24,53320,1498.0
59,21,33805,999.0
93,61,21791,445.0
52,32,32785,851.0
93,24,37516,1155.0
74,54,32530,665.0
79,61,24050,452.0
20,81,24885,199.0
19,24,61504,1671.0
97,22,35275,1102.0
84,22,39110,1182.0
79,35,38885,1038.0
98,11,61598,2011.0
61,53,26222,538.0
19,22,37949,1043.0
29,23,37873,1058.0
60,61,23605,414.0
25,31,42257,1027.0
78,11,40105,1333.0
88,35,48566,1279.0
53,24,54767,1548.0
35,21,57749,1598.0
37,53,31105,580.0
51,12,39154,1259.0
96,53,36960,776.0
24,35,44147,1070.0
18,52,28440,504.0
77,91,30224,229.0
88,32,26362,761.0
38,41,31733,697.0
46,54,21422,433.0
19,35,45476,1092.0
96,35,32726,923.0
43,12,44997,1421.0
92,24,29923,951.0
36,24,38005,1073.0
81,21,33088,1017.0
41,92,29364,166.0
64,41,29699,700.0
75,32,25443,718.0
59,34,35196,919.0
40,81,27234,248.0
63,21,57157,1629.0
19,32,23920,589.0
65,72,31307,421.0
66,33,23446,657.0
22,92,25963,123.0
45,12,27187,890.0
33,11,63300,1954.0
25,81,31255,250.0
47,23,48222,1364.0
63,33,38429,1001.0
69,52,47275,902.0
87,24,59384,1728.0
20,53,40892,714.0
96,21,44842,1355.0
79,52,34230,702.0
79,34,36805,990.0
67,54,32607,655.0
83,21,41822,1253.0
28,24,61407,1684.0
20,22,52390,1430.0
99,54,22844,545.0
87,22,38140,1162.0
76,92,31323,231.0
48,23,43609,1242.0
31,24,52318,1446.0
84,12,39253,1317.0
69,21,36751,1095.0
69,32,26922,743.0
94,34,42178,1140.0
67,52,44518,853.0
66,33,14105,439.0
56,41,33753,768.0
83,12,31404,1080.0
85,41,31120,764.0
92,71,23998,393.0
72,22,37875,1130.0
49,24,30257,888.0
76,24,54331,1575.0
96,61,22092,454.0
35,41,27871,615.0
85,35,50394,1317.0
32,35,39814,982.0
45,21,53149,1492.0
87,34,43742,1165.0
48,24,59650,1670.0
38,22,31059,891.0
19,32,22803,563.0
47,33,17644,490.0
46,52,37525,702.0
57,52,36826,708.0
37,82,27467,244.0
32,41,32920,711.0
70,35,32808,882.0
99,52,46561,941.0
45,22,42550,1209.0
57,33,36282,941.0
33,53,31129,573.0
72,71,23617,356.0
78,32,24922,711.0
23,32,30501,750.0
27,92,21566,116.0
30,92,28033,143.0
18,35,37972,916.0
82,81,27161,317.0
82,22,32563,1005.0
45,24,39110,1117.0
29,32,32901,816.0
64,35,35314,930.0
23,71,24654,284.0
90,51,29215,636.0
36,21,36704,1038.0
91,53,40867,832.0
97,32,23099,700.0
42,81,24571,233.0
92,81,25328,322.0
31,24,43060,1199.0
96,21,31657,1004.0
30,12,31251,987.0
57,54,28714,573.0
64,41,23330,573.0
19,91,24991,114.0
64,21,49935,1438.0
79,81,31164,339.0
20,81,24974,199.0
81,35,36862,995.0
80,82,42248,414.0
21,33,11369,300.0
43,53,37164,691.0
93,61,28115,529.0
71,41,25343,625.0
50,11,45549,1449.0
55,21,52907,1502.0
81,32,24547,707.0
38,34,33369,841.0
29,32,26621,669.0
66,92,26411,198.0
26,22,40244,1116.0
87,82,39710,409.0
65,12,49919,1605.0
84,24,54800,1601.0
66,41,30717,724.0
66,32,24139,673.0
60,35,30604,814.0
87,52,35147,730.0
79,11,42999,1421.0
31,35,46234,1130.0
96,92,22222,234.0
87,61,20093,412.0
47,41,28022,638.0
88,53,26666,591.0
80,54,22142,502.0
58,32,26602,717.0
60,63,28135,475.0
24,24,38010,1053.0
94,12,28543,1012.0
70,62,22391,415.0
93,54,25083,573.0
73,35,28266,781.0
83,21,48133,1421.0
21,11,69931,2132.0
79,34,36997,994.0
44,35,28318,734.0
57,24,30892,918.0
69,32,21805,623.0
48,31,34598,887.0
28,81,36755,291.0
39,54,32069,599.0
73,21,49290,1436.0
18,34,29469,717.0
51,52,37768,714.0
78,61,21461,416.0
44,22,47321,1335.0
26,82,28281,231.0
98,34,43933,1188.0
42,41,31945,708.0
98,35,42949,1165.0
63,35,41378,1070.0
36,81,34533,290.0
85,24,41972,1260.0
63,81,34896,337.0
71,71,19528,313.0
34,81,30482,259.0
91,21,41727,1264.0
93,62,29596,549.0
57,34,37058,959.0
41,32,30030,769.0
18,35,36836,889.0
62,81,24354,265.0
60,34,25601,697.0
85,12,37346,1262.0
88,12,42043,1407.0
53,53,36821,702.0
93,61,25040,488.0
33,11,32637,1034.0
69,12,48397,1566.0
25,21,60853,1664.0
91,12,44319,1481.0
96,22,40599,1242.0
97,35,37948,1047.0
91,41,28963,730.0
56,21,35757,1046.0
78,52,34692,708.0
77,52,44581,871.0
65,92,27630,200.0
58,81,36443,339.0
37,21,39859,1124.0
79,53,31964,664.0
69,92,22502,190.0
92,81,29484,349.0
93,35,34632,963.0
55,51,26549,534.0
72,12,32527,1095.0
18,81,36053,270.0
36,61,19032,313.0
35,41,31050,679.0
74,22,47506,1390.0
30,34,37757,930.0
57,21,57320,1623.0
90,12,28743,1012.0
65,91,31378,212.0
34,31,35246,879.0
25,11,51861,1597.0
40,91,25236,150.0
50,52,32480,624.0
79,22,31952,983.0
90,22,45906,1374.0
76,33,7567,303.0
47,71,27298,351.0
44,81,24648,237.0
79,34,27235,767.0
48,11,60698,1900.0
30,34,32740,813.0
43,11,37211,1187.0
52,34,35006,903.0
20,52,39160,686.0
50,35,44939,1131.0
68,24,34642,1037.0
47,72,29625,374.0
29,92,29362,146.0
18,53,34914,611.0
47,51,27287,533.0
45,22,53765,1508.0
32,35,37287,923.0
65,34,44732,1152.0
87,21,58505,1705.0
49,81,33175,302.0
96,22,50994,1519.0
71,24,55495,1598.0
35,81,34316,287.0
53,21,54685,1546.0
94,92,25685,242.0
19,92,22977,108.0
60,21,53909,1537.0
56,21,63270,1780.0
36,24,40597,1142.0
33,92,27227,145.0
34,33,18906,497.0
61,22,37143,1092.0
71,91,27616,210.0
52,61,26105,434.0
61,72,25368,355.0
65,31,36846,968.0
41,33,19886,532.0
49,12,47882,1518.0
83,81,32119,352.0
35,92,26026,145.0
79,92,27234,222.0
47,92,24695,160.0
26,82,27767,228.0
84,24,36688,1118.0
83,54,22413,511.0
50,12,38715,1244.0
46,21,63290,1764.0
22,34,42039,1017.0
93,81,26944,334.0
94,92,29750,255.0
45,53,37612,701.0
69,23,38444,1140.0
49,31,29777,776.0
36,61,26579,414.0
39,63,31702,487.0
78,35,29199,811.0
27,53,31421,568.0
43,12,47007,1481.0
42,62,24592,397.0
27,21,40655,1129.0
23,41,30370,645.0
36,53,29635,553.0
26,62,32101,471.0
82,22,36647,1113.0
62,92,31332,207.0
59,31,38532,997.0
26,32,22076,558.0
65,21,36171,1072.0
73,31,34005,915.0
99,21,56744,1678.0
21,61,18461,281.0
98,34,29756,857.0
66,21,55536,1590.0
67,11,44613,1450.0
30,24,61272,1683.0
25,21,43246,1194.0
29,54,30030,548.0
81,35,39226,1050.0
35,54,24198,461.0
70,34,36444,967.0
94,22,37712,1162.0
80,61,29785,530.0
63,92,20826,174.0
48,54,30127,582.0
48,21,50892,1437.0
42,92,23833,149.0
47,21,64135,1788.0
48,34,39314,997.0
45,53,39227,728.0
96,32,26921,788.0
80,41,23982,612.0
68,24,41573,1221.0
30,62,30403,455.0
68,71,24010,353.0
51,33,10801,337.0
81,31,31797,876.0
75,31,31960,870.0
68,24,48477,1406.0
55,51,27253,545.0
92,32,23540,702.0
47,21,52919,1489.0
19,21,52825,1440.0
98,81,24240,324.0
95,11,63831,2073.0
95,82,33572,382.0
55,32,32049,839.0
84,61,20625,415.0
81,41,25870,652.0
26,81,33175,264.0
22,31,28098,692.0
49,82,41369,357.0
42,12,42750,1352.0
49,21,32648,952.0
46,24,34224,989.0
27,35,52979,1281.0
48,12,49021,1550.0
65,71,22794,336.0
72,71,28829,408.0
43,12,48355,1522.0
26,11,40487,1257.0
62,12,41191,1339.0
54,32,22927,624.0
48,23,38718,1112.0
51,24,43086,1233.0
77,42,30243,733.0
58,81,28890,289.0
79,92,27370,222.0
75,34,30406,834.0
71,12,39037,1289.0
78,92,25082,213.0
70,32,28433,780.0
86,11,43199,1439.0
34,12,30231,963.0
41,24,34505,988.0
45,21,35390,1018.0
33,54,23081,439.0
78,21,54921,1594.0
40,82,38623,324.0
75,35,31894,869.0
62,21,50357,1446.0
52,21,50538,1434.0
57,41,35786,810.0
26,24,59680,1634.0
76,61,27733,496.0
95,52,44973,907.0
73,52,38012,755.0
94,35,47150,1256.0
25,11,47802,1475.0
95,72,31623,474.0
79,21,39335,1180.0
81,41,25783,650.0
77,11,82252,2595.0
92,41,27490,703.0
35,21,46701,1303.0
96,54,21894,524.0
45,53,41400,765.0
59,52,27248,552.0
78,35,44910,1177.0
24,52,35636,633.0
28,52,44543,789.0
61,52,47197,888.0
32,12,30471,967.0
59,34,41278,1061.0
89,61,30336,552.0
59,22,51916,1482.0
71,35,52205,1336.0
55,61,19797,355.0
30,41,27798,605.0
36,11,46433,1452.0
80,22,43137,1283.0
19,22,46737,1277.0
81,22,33168,1019.0
49,22,35859,1037.0
42,21,38815,1105.0
24,34,32114,789.0
79,62,28340,509.0
41,31,30087,770.0
52,22,45361,1296.0
65,54,31284,629.0
64,21,38060,1121.0
43,22,34034,979.0
40,23,48865,1369.0
45,92,28598,170.0
48,35,41489,1048.0
90,92,21294,220.0
45,81,24879,240.0
97,41,31275,787.0
40,12,43589,1374.0
95,61,27518,525.0
50,54,31846,614.0
68,81,25943,286.0
49,12,33437,1084.0
52,63,34609,548.0
28,92,30530,148.0
24,53,31938,572.0
56,23,35170,1031.0
41,24,60986,1694.0
73,35,36780,979.0
52,53,29300,575.0
30,12,42350,1320.0
91,11,87496,2776.0
49,71,27611,357.0
58,71,20194,298.0
89,52,32587,691.0
52,52,41695,781.0
45,32,26759,699.0
47,21,43581,1240.0
28,53,33483,604.0
49,12,35093,1134.0
39,11,53601,1673.0
54,32,33204,864.0
40,32,30024,767.0
95,54,29488,649.0
52,42,26484,616.0
29,12,29435,931.0
86,35,39517,1065.0
62,24,59111,1679.0
83,22,36030,1099.0
98,32,23411,709.0
75,12,39339,1305.0
62,61,23012,410.0
21,34,42913,1036.0
45,81,27399,257.0
48,52,40912,761.0
85,21,35976,1101.0
76,21,43018,1273.0
55,71,20848,300.0
63,41,35742,819.0
54,61,22454,389.0
69,71,19827,313.0
95,92,24197,238.0
72,52,45769,882.0
28,54,33098,598.0
30,35,41785,1024.0
83,82,38111,392.0
75,41,33070,786.0
63,61,21927,397.0
99,35,48040,1285.0
49,34,42374,1070.0
69,92,19185,178.0
78,35,46314,1210.0
66,12,47543,1536.0
69,12,27010,925.0
76,61,19856,391.0
50,22,38788,1117.0
91,41,30052,752.0
66,11,64131,2033.0
23,51,25439,462.0
36,81,24299,221.0
95,54,32097,693.0
36,22,41712,1172.0
52,91,30560,188.0
87,34,36870,1005.0
66,21,36122,1073.0
96,24,53458,1585.0
86,54,24384,549.0
72,54,21773,482.0
62,61,23291,413.0
78,52,45883,894.0
78,52,29661,624.0
42,12,42539,1346.0
78,62,23876,448.0
38,42,22051,504.0
25,33,13145,348.0
50,62,20884,361.0
63,24,53635,1535.0
84,92,23106,217.0
20,11,60526,1849.0
66,35,33284,886.0
24,12,48886,1506.0
81,21,39255,1181.0
92,22,52619,1556.0
65,62,32570,542.0
35,52,37628,685.0
56,24,43968,1265.0
81,81,35910,374.0
77,24,49196,1440.0
40,21,31789,914.0
62,24,31951,955.0
73,21,36288,1089.0
56,81,31707,304.0
34,32,27420,696.0
57,52,27604,555.0
48,54,26669,524.0
80,72,30300,436.0
71,32,32577,878.0
74,54,24384,529.0
46,34,39806,1005.0
51,81,29828,283.0
70,35,47695,1229.0
61,21,60681,1719.0
64,21,46417,1344.0
43,81,36592,315.0
83,22,45177,1343.0
85,23,39957,1207.0
72,71,29363,413.0
67,34,34661,920.0
67,72,31929,430.0
54,21,47277,1350.0
28,33,32485,804.0
32,53,42128,755.0
88,81,31146,354.0
65,12,46607,1506.0
38,92,22739,139.0
66,82,25104,277.0
45,61,18386,320.0
92,35,37798,1035.0
26,34,32951,812.0
71,41,34487,808.0
88,35,26535,765.0
99,23,49430,1483.0
89,71,21211,360.0
18,35,42300,1017.0
65,21,45944,1333.0
52,24,34591,1009.0
18,34,35999,869.0
57,24,49928,1426.0
82,31,40491,1081.0
83,52,39504,796.0
86,62,29946,542.0
79,54,24681,543.0
79,53,38117,766.0
98,51,26009,596.0
43,52,31398,594.0
69,61,28186,490.0
72,53,31841,650.0
27,22,38050,1059.0
96,54,23076,544.0
18,31,28305,690.0
59,24,49806,1426.0
48,54,22773,459.0
41,81,23450,224.0
84,21,61086,1768.0
67,82,26219,286.0
32,81,26036,226.0
25,92,24901,124.0
74,22,52973,1535.0
39,21,32370,928.0
43,22,44937,1269.0
63,35,51927,1316.0
94,21,37887,1166.0
78,52,46157,899.0
38,22,45259,1270.0
18,62,25165,365.0
48,53,30556,589.0
19,21,48486,1324.0
90,35,30111,852.0
66,32,32409,866.0
44,23,40199,1145.0
57,63,28357,473.0
98,92,24105,243.0
54,35,48858,1230.0
44,12,34334,1103.0
30,12,38295,1198.0
20,81,32631,250.0
23,24,56425,1543.0
65,82,29616,305.0
27,21,46166,1276.0
31,63,32264,481.0
29,21,41439,1153.0
19,21,55266,1505.0
42,82,30795,275.0
70,23,38689,1148.0
28,24,31378,883.0
49,41,28019,642.0
26,35,52333,1264.0
70,32,29767,811.0
90,35,30506,861.0
21,24,55418,1512.0
82,35,49570,1293.0
63,32,31797,846.0
61,54,28940,584.0
46,72,29652,373.0
20,11,47647,1462.0
90,41,32394,797.0
23,22,45416,1249.0
45,35,51941,1286.0
46,24,40739,1163.0
56,52,28447,567.0
63,41,34607,797.0
19,41,31737,666.0
96,92,19758,225.0
47,82,30675,282.0
32,81,30048,253.0
35,32,33300,835.0
87,62,25941,490.0
86,35,46410,1226.0
69,62,30316,519.0
74,32,31331,854.0
56,23,38341,1115.0
94,62,29552,550.0
32,22,40430,1131.0
22,81,30645,240.0
38,11,53837,1678.0
73,81,28805,313.0
29,41,25276,553.0
63,41,34618,797.0
79,23,49760,1458.0
78,24,55881,1620.0
48,12,36828,1184.0
54,81,23453,246.0
48,21,48934,1384.0
92,23,49625,1476.0
32,22,52738,1459.0
40,32,30744,784.0
30,23,53253,1470.0
47,52,37903,710.0
58,21,34856,1026.0
63,81,33883,330.0
51,54,32776,631.0
69,21,41763,1228.0
61,21,53035,1515.0
23,72,24194,280.0
83,24,50845,1494.0
22,32,22086,552.0
84,12,37726,1271.0
73,82,43681,412.0
94,33,27311,793.0
81,21,57926,1679.0
46,62,23384,388.0
76,91,23432,204.0
20,54,24104,435.0
22,63,28428,415.0
38,61,26902,422.0
